센터ID,name,유형,시도,시군구,주소,우편번호,위도,경도,전화번호,팩스번호,홈페이지,설립일,의사인원수,간호사인원수,사회복지사인원수,인원_작업치료사,인원_행정인력,인원_운동치료사,인원_임상심리사,인원_음악치료사,인원_송영인력,인원_기타,인원_임상병리사,인원_치위생사,인원_물리치료사,인원_의무기록사,인원_시설관리,인원_방사선사,인원_영양사,인원_응급구조사
C0016,서울특별시성동구치매안심센터,치매안심센터,서울특별시,성동구,"서울 성동구 왕십리로5길 3 (성수동1가, 성수1가제2동 공공복합청사) 5층",04768,37.54640255,127.0443497,02-499-8071,02-499-8075,https://seongdong.nid.or.kr,2018-01-01,1,9,3,4,1,,,,,,,,,,,,,
C0017,서울특별시성북구치매안심센터,치매안심센터,서울특별시,성북구,"서울 성북구 화랑로 63 (하월곡동, 성북구보건소) 5층",02751,37.60271066,127.0395333,02-918-2223,02-918-2216,https://seongbuk.nid.or.kr,2007-06-27,1,11,3,6,1,,,,,,,,,,,,,
C0018,서울특별시송파구치매안심센터,치매안심센터,서울특별시,송파구,"서울 송파구 충민로 184 (장지동, 구립송파노인요양센터) 송파구 치매안심센터(1층)",05792,37.48579492,127.1343222,02-2147-5050,02-2147-3984,https://songpa.nid.or.kr,2018-04-01,0,11,5,6,,,,,,,,,,,,,,
C0019,서울특별시양천구치매안심센터,치매안심센터,서울특별시,양천구,"서울 양천구 남부순환로 407 (신월동) 신월보건지소 3,4층",07921,37.53133706,126.8318233,02-2698-8680,02-2698-8682,https://yangcheon.nid.or.kr,2018-01-01,1,12,4,5,,1,1,,,,,,,,,,,
C0020,서울특별시영등포구치매안심센터,치매안심센터,서울특별시,영등포구,서울 영등포구 당산로29길 9 (당산동3가) 3층,07261,37.52598149,126.8939756,02-831-0855,,https://yeongdeungpo.nid.or.kr,2018-01-01,1,9,4,5,1,1,,1,,,,,,,,,,
C0021,서울특별시용산구치매안심센터,치매안심센터,서울특별시,용산구,"서울 용산구 녹사평대로 150 (이태원동, 용산구종합행정타운) 보건소 지하2층",04390,37.53245229,126.9904788,02-790-1541,02-790-1544,https://yongsan.nid.or.kr,2018-01-02,1,9,3,6,,,,1,,,,,,,,,,
C0022,서울특별시은평구치매안심센터,치매안심센터,서울특별시,은평구,"서울 은평구 연서로34길 11 (불광동, 보건분소) 불광보건지소 1층",03347,37.62156247,126.9276913,02-388-8233,02-388-8235,https://eunpyeong.nid.or.kr,2018-12-19,1,9,4,2,,,1,1,,,,,,,,,,
C0023,서울특별시종로구치매안심센터,치매안심센터,서울특별시,종로구,"서울 종로구 평창문화로 50 (평창동, 종로구치매안심센터) 종로구치매안심센터",03011,37.60542184,126.9669251,02-3675-9001,02-3675-9007,https://jongno.nid.or.kr,2019-12-31,1,6,4,6,1,,,,,,,,,,,,,
C0024,서울특별시중구치매안심센터,치매안심센터,서울특별시,중구,"서울 중구 퇴계로 460 (신당동, 중구종합복지센터) 11층",04579,37.56509826,127.0227631,02-2238-3400,02-2238-5995,https://junggu.nid.or.kr,2019-12-31,1,9,3,4,,,,,,,,,,,,,,
C0025,서울특별시중랑구치매안심센터,치매안심센터,서울특별시,중랑구,"서울 중랑구 봉화산로 190 (신내동, 중랑구청 제2청사) 6층",02076,37.60625232,127.0941678,02-435-7540,02-435-7547,https://jungnang.nid.or.kr,2018-01-01,1,11,3,7,,,,,,,,,,,,,,
C0026,부산광역시강서구치매안심센터,치매안심센터,부산광역시,강서구,"부산 강서구 낙동북로102번길 76 (강동동, 강동보건지소) 2층 치매안심센터",46706,35.2162043,128.937671,051-970-2600,051-970-4799,https://bsgangseo.nid.or.kr,2018-11-15,1,9,3,1,,,1,,,,,,,,,,,
C0027,부산광역시금정구치매안심센터,치매안심센터,부산광역시,금정구,"부산 금정구 중앙대로 1777 (부곡동, 금정구청) 금정구청 별관4층 치매안심센터",46274,35.24205404,129.0924545,051-519-5678,,https://bsgj.nid.or.kr,2018-06-20,0,10,2,,,,,,,,,,,,,,,
C0028,부산광역시기장군치매안심센터,치매안심센터,부산광역시,기장군,"부산 기장군 정관읍 용수로 11 (용수리, 정관보건지소) 정관보건지소",46014,35.32519724,129.1793766,051-709-2984,051-727-0322,https://gijang.nid.or.kr,2018-11-05,1,9,4,,,,,,,,,,,,,,,
C0029,부산광역시남구치매안심센터,치매안심센터,부산광역시,남구,"부산 남구 못골로 23 (대연동, 남구보건소) 남구보건소 3층",48452,35.13606784,129.0849507,051-607-3781,051-607-3789,https://bsnamgu.nid.or.kr,2025-06-16,1,10,3,2,,,1,,,1,,,,,,,,
C0030,부산광역시동구치매안심센터,치매안심센터,부산광역시,동구,"부산 동구 구청로 14 (수정동, 동구보훈회관) 5~6층",48782,35.1283296,129.0450647,051-440-6441,,https://bsdonggu.nid.or.kr,2018-03-21,0,6,3,2,,,1,,,,,,,,,,,
C0031,부산광역시동래구치매안심센터,치매안심센터,부산광역시,동래구,"부산 동래구 명륜로187번길 56 (명륜동, 동래구보건소) 4층 치매안심센터",47741,35.21141256,129.0798533,051-550-6767,051-550-6749,https://dongnae.nid.or.kr,2018-06-22,3,10,2,2,,,1,,,,,,,,,,,
C0032,부산광역시부산진구치매안심센터,치매안심센터,부산광역시,부산진구,부산 부산진구 새싹로 253 (초읍동) 부산진구 치매안심센터,47104,35.17870907,129.04755,051-605-6107,051-605-5999,https://busanjin.nid.or.kr,2018-12-28,0,10,6,2,,,1,,,,,,,,,,,
C0033,부산광역시북구치매안심센터,치매안심센터,부산광역시,북구,"부산 북구 덕천로 123 (덕천동, 덕천3동공영주차장) 행복키움센터 4층 치매안심센터",46575,35.2105403,129.0181319,051-309-5281,051-309-5299,https://bsbukgu.nid.or.kr,2019-08-27,2,9,3,3,,,1,,,,,,,,,,,
C0034,부산광역시사상구치매안심센터,치매안심센터,부산광역시,사상구,"부산 사상구 학감대로 242 (감전동, 사상구청) 사상구 보건소 2층",46985,35.15255072,128.9914561,051-310-4853,051-310-4799,https://sasang.nid.or.kr,2019-07-15,1,11,4,3,,,,,,,1,,,,,,,
C0035,부산광역시사하구치매안심센터,치매안심센터,부산광역시,사하구,부산 사하구 까치고개로 50-10 (실버힐링센터 2-3층) 실버힐링센터,49347,35.10448398,129.0063462,051-220-5971~5,051-202-5720,https://saha.nid.or.kr,2019-05-14,0,7,2,2,,,,,1,,,,,,,,,
C0036,부산광역시서구치매안심센터,치매안심센터,부산광역시,서구,부산 서구 구덕로 127 (토성동5가) 서구가족센터 4층,49252,35.09633258,129.022058,051-240-4912,051-240-4799,https://bsseogu.nid.or.kr,2019-09-30,2,7,2,2,,,2,,,,,,,,,,,
C0037,부산광역시수영구치매안심센터,치매안심센터,부산광역시,수영구,"부산 수영구 수영로 637-5 (광안동, 수영구 보건소) 별관, 수영구치매안심센터",48247,35.1624774,129.1134882,051-610-4901,,https://suyeong.nid.or.kr,2018-12-19,0,5,2,3,,,1,,,,,,,,,,,
C0038,부산광역시연제구치매안심센터,치매안심센터,부산광역시,연제구,부산 연제구 중앙대로1038번길 40 (연산동) 시청앞 행복주택 204동(연제구 건강관리센터) 3~4층,47600,35.17925419,129.0784461,051-665-5460,051-665-5439,https://yeonje.nid.or.kr,2018-11-29,2,11,2,2,,,1,,,,,,,,,,,
C0039,부산광역시영도구치매안심센터,치매안심센터,부산광역시,영도구,"부산 영도구 태종로 423 (청학동, 영도구청) 영도구 보건소 신관 1층",49011,35.09121745,129.0679105,051-419-4954,,https://yeongdo.nid.or.kr,2018-12-18,3,8,3,1,,,1,,,,,,,,,,,
C0040,부산광역시중구치매안심센터,치매안심센터,부산광역시,중구,부산 중구 흑교로 48 (보수동1가) 중구복합건강센터 2층,48962,35.10377395,129.0253563,051-600-4688,,https://bsjunggu.nid.or.kr,2019-03-06,1,5,3,4,,,1,,,,,,,,,,,
C0041,부산광역시해운대구치매안심센터,치매안심센터,부산광역시,해운대구,"부산 해운대구 양운로37번길 59 (좌동, 해운대구보건소) 2관 치매안심센터 3층,4층",48104,35.1641127,129.1786594,051-749-0770,051-749-7589,https://haeundae.nid.or.kr,2019-05-16,4,15,2,2,1,,1,,,,,,,,,,,
C0042,대구광역시남구치매안심센터,치매안심센터,대구광역시,남구,"대구 남구 영선길 34 (대명동, 남구 보건소) 5층 치매안심센터",42424,35.85389994,128.5915237,053-664-6300,053-664-3709,https://namdaegu.nid.or.kr,2019-06-11,0,9,2,3,,,2,,,,,,,,,,,
C0043,대구광역시달서구치매안심센터,치매안심센터,대구광역시,달서구,"대구 달서구 와룡로 106(본리동, 달서구 치매안심센터) 달서구치매안심센터",42674,35.842085,128.5376247,053-667-5771,053-667-5779,https://dalseo.nid.or.kr,2019-05-20,0,13,5,2,,,1,,,1,,,,,,,,
C0044,대구광역시달성군치매안심센터,치매안심센터,대구광역시,달성군,대구 달성군 현풍읍 현풍중앙로 27 (하리) 달성군보건소 5층 달성군치매안심센터,43004,35.69200624,128.4462105,053-668-3841,053-282-8141,https://dalseong.nid.or.kr,2019-04-24,1,11,4,2,,,,,,,,1,,,,,,
C0045,대구광역시동구치매안심센터,치매안심센터,대구광역시,동구,"대구 동구 동촌로 79 (검사동, 동구보건소) 4층 치매안심센터",41143,35.88812209,128.6512166,053-662-3175,053-662-3199,https://dongdaegu.nid.or.kr,2018-12-20,2,10,5,3,,,,,,,,,,,,,,
C0046,대구광역시북구치매안심센터,치매안심센터,대구광역시,북구,"대구 북구 성북로 49 (침산동, 북구보건소) 5층",41550,35.891715,128.588813,053-665-3135,053-665-3279,https://bukdaegu.nid.or.kr,2019-07-04,1,13,4,4,1,,1,,1,,,,,,,,,
C0047,대구광역시서구치매안심센터,치매안심센터,대구광역시,서구,대구 서구 북비산로71길 7 (비산동) 서구치매안심센터,41735,35.88016148,128.5723999,053-663-3811,053-663-3819,https://dgs.nid.or.kr,2019-05-16,0,11,2,2,1,,,,1,,,,,,,,,
C0048,대구광역시수성구치매안심센터,치매안심센터,대구광역시,수성구,"대구 수성구 수성로 213 (중동, 수성구보건소) 별관 2~3층",42152,35.84495927,128.6119385,053-666-3181,053-666-4898,https://suseong.nid.or.kr,2019-03-28,0,14,4,4,1,,2,,,,,,,,,,,
C0049,대구광역시중구치매안심센터,치매안심센터,대구광역시,중구,"대구 중구 태평로 45 (태평로3가, 중구보건소) 3층 중구치매안심센터",41901,35.87790606,128.5833355,053-661-3911,053-661-3139,https://dgjunggu.nid.or.kr,2018-01-23,1,7,3,,,,,,,,,,,,,,,
C0050,대구광역시군위군치매안심센터,치매안심센터,대구광역시,군위군,"대구 군위군 군위읍 군청로 70 (동부리, 군위군보건소) 2층 치매안심센터",43120,36.22952003,128.5698713,054-380-7491,054-380-6757,https://gunwi.nid.or.kr,2019-12-23,1,6,2,,,,,,,,,,,,,,,
C0051,인천광역시강화군치매안심센터,치매안심센터,인천광역시,강화군,인천 강화군 강화읍 충렬사로 26-1 (남산리) 강화군보건소 내,23037,37.7372942,126.4848586,032-930-4057,032-930-3642,https://ganghwa.nid.or.kr,2018-12-28,0,3,7,2,4,,2,,4,,1,1,2,,,,,
C0052,인천광역시계양구치매안심센터,치매안심센터,인천광역시,계양구,"인천 계양구 계양문화로 63 (계산동, 계양구보건소) 계양구 보건소 4층",21068,37.53642762,126.7362452,032-430-7867,032-547-9226,https://gyeyang.nid.or.kr,2017-12-01,2,14,1,,1,,,,1,2,,,,,,,,
C0053,인천광역시미추홀구치매안심센터,치매안심센터,인천광역시,미추홀구,인천 미추홀구 경인로34번길 20 (숭의동) 5층 미추홀구치매안심센터,22169,37.46303566,126.6472695,032-728-6520,,https://michuhol.nid.or.kr,2018-11-30,2,23,3,,,,,,,,,,,,,,,
C0054,인천광역시남동구치매안심센터,치매안심센터,인천광역시,남동구,"인천 남동구 소래로 633 (만수동, 남동구청) 남동구 보건소 3층",21589,37.44738839,126.7306774,032-453-5910,,https://namdong.nid.or.kr,2019-01-24,0,19,1,2,,,1,,,13,,,,,,,,
C0055,인천광역시동구치매안심센터,치매안심센터,인천광역시,동구,인천 동구 방축로 193 (송림동) 동구치매안심센터,22532,37.4798949,126.6665634,032-772-6307,032-760-4949,https://icdonggu.nid.or.kr,2018-12-21,0,11,1,,,,1,,,6,1,,,,,,,
C0056,인천광역시부평구치매안심센터,치매안심센터,인천광역시,부평구,"인천 부평구 주부토로 65 (부평동, 부평4동 행정복지센터) 6층, 7층 부평구치매안심센터",21359,37.50084167,126.7249748,032-509-1308,032-509-1309,https://icbp.nid.or.kr,2019-09-27,2,34,1,,,,,,,,,,,,,,,
C0057,인천광역시서구치매안심센터,치매안심센터,인천광역시,서구,"인천 서구 봉오재3로94번길 11 (가정동, MK타워)5층 서구치매안심센터",22731,37.52682819,126.6704561,032-718-0630,032-718-0798,https://seoincheon.nid.or.kr,2019-12-18,0,24,1,,,,,,,,,,,,,,,
C0058,인천광역시연수구치매안심센터,치매안심센터,인천광역시,연수구,인천 연수구 예술로20번길 15 (선학동) 연수구치매안심센터,21907,37.43578309,126.6996474,1899-9080,032-749-8939,https://yeonsu.nid.or.kr,2017-12-08,0,13,1,2,10,,,,,,,,,,,,,
C0059,인천광역시옹진군치매안심센터,치매안심센터,인천광역시,옹진군,"인천 미추홀구 매소홀로 120 (용현동, 옹진군청) 옹진군보건소 3층",22193,37.44657047,126.6367454,032-721-0520,032-899-3149,https://ongjin.nid.or.kr,2017-12-01,0,1,0,,,,,,,1,,,,,,,,
C0060,인천광역시중구치매안심센터,치매안심센터,인천광역시,중구,"인천 중구 참외전로72번길 21 (전동, 중구보건소) 4층 중구치매안심센터",22309,37.47721729,126.6291077,032-760-6060,,https://icjg.nid.or.kr,2018-11-23,0,7,1,1,,,,,,,,,,,,,,
C0061,광주광역시광산구치매안심센터,치매안심센터,광주광역시,광산구,광주광역시 광산구 용아로379번길 77(산정동 1033) 광산구치매안심센터,62430,35.17615122,126.8002346,062-960-6930,062-960-3738,https://gwangsan.nid.or.kr,2019-12-05,0,10,2,,,,,,,,,,,,,,,
C0062,광주광역시남구치매안심센터,치매안심센터,광주광역시,남구,광주 남구 효우로 80 (노대동) 남구 치매안심센터,61744,35.10631349,126.9035759,062-607-4369,062-675-2041,https://gjnamgu.nid.or.kr,2020-02-24,0,9,0,,,,,,,7,,,,,,,,
C0063,광주광역시동구치매안심센터,치매안심센터,광주광역시,동구,"광주 동구 서남로 14 (서석동, 서남동주민센터) 7층",61468,35.14495096,126.923163,062-608-3490,062-608-3499,https://gjdonggu.nid.or.kr,2018-09-12,1,11,1,2,1,,,,,,,,1,,,,,
C0064,광주광역시북구치매안심센터,치매안심센터,광주광역시,북구,광주광역시 북구 북문대로 234(동림동) 북구치매안심센터 2층,61217,35.18696695,126.8668768,062-410-8124,062-510-1447,https://gjbukgu.nid.or.kr,2019-09-06,1,13,1,,2,,,,,1,,,,,,,,
C0065,광주광역시서구치매안심센터,치매안심센터,광주광역시,서구,광주 서구 상무대로884번길 17-20 (쌍촌동),61990,35.14885739,126.860335,062-350-4759,062-371-0093,https://gjseogu.nid.or.kr,2017-12-01,1,11,1,1,5,,2,,,1,,,,,,,,
C0066,대전광역시대덕구치매안심센터,치매안심센터,대전광역시,대덕구,"대전 대덕구 동춘당로 187 (법동, 법2동행정복지센터) 3층",34406,36.36720767,127.4308386,042-608-5426,042-608-3851,https://daedeok.nid.or.kr,2018-07-20,1,13,1,1,,,1,,,,,,,,,,,
C0067,대전광역시동구치매안심센터,치매안심센터,대전광역시,동구,"대전 동구 현암로 22 (삼성동) 2, 3층",34563,36.34298696,127.4204617,042-621-6011,042-625-6077,https://djdonggu.nid.or.kr,2018-04-10,0,8,4,,6,,,,,,,,,,,,,
C0068,대전광역시서구치매안심센터,치매안심센터,대전광역시,서구,"대전 서구 만년로 74 (만년동, 대전서구보건소) 서구보건소 5층(치매안심센터)",35203,36.36708849,127.3810998,042-288-4470,042-288-5934,https://djseogu.nid.or.kr,2018-04-24,1,11,4,,,,,,,,,,,,,,,
C0069,대전광역시유성구치매안심센터,치매안심센터,대전광역시,유성구,대전 유성구 박산로 177 (구암동) 유성구보건소 2층,34174,36.35381247,127.3286409,042-611-5018,042-611-5110,https://yuseong.nid.or.kr,2018-05-31,0,6,3,3,,,1,,,,,,,,,,,
C0070,대전광역시중구치매안심센터,치매안심센터,대전광역시,중구,"대전 중구 중앙로 100 (대흥동, 중구청 제3별관 1층) 중구치매안심센터",34939,36.32557502,127.4212953,042-288-8180,042-288-8981,https://djjunggu.nid.or.kr,2018-08-20,1,4,1,,,,,,,,,,,,,,,
C0071,울산광역시남구치매안심센터,치매안심센터,울산광역시,남구,"울산 남구 삼산중로 132 (삼산동, 울산남구보건소) 남구보건소 별관 치매안심센터",44698,35.54535764,129.3363283,052-226-2323,052-226-3227,https://ulsannamgu.nid.or.kr,2019-04-30,0,6,1,4,,,1,,,1,1,,,,,,,
C0072,울산광역시동구치매안심센터,치매안심센터,울산광역시,동구,"울산 동구 봉수로 155 (화정동, 동구청) 보건소 1층 치매안심센터",44021,35.5050746,129.4164426,052-209-4060,052-209-4079,https://ulsandonggu.nid.or.kr,2018-08-01,1,8,1,2,,,,,,,,,,,,,,
C0073,울산광역시북구치매안심센터,치매안심센터,울산광역시,북구,"울산 북구 산업로 1018 (연암동, 보건소) 지하1층, 지상1,2층 치매안심센터",44248,35.58355486,129.3607106,052-241-8257,052-241-8109,https://ulsanbukgu.nid.or.kr,2018-10-18,1,6,1,3,,,,,,,,,,,,,,
C0074,울산광역시울주군치매안심센터,치매안심센터,울산광역시,울주,울산 울주군 웅촌면 은현작동로 49 (검단리) 울주군 치매안심센터,44965,35.45690394,129.1768249,052-204-2878,052-204-2879,https://ulju.nid.or.kr,2018-05-30,,,,,,,,,,,,,,,,,,
C0075,울산광역시중구치매안심센터,치매안심센터,울산광역시,중구,"울산 중구 외솔큰길 225 (남외동, 중구보건소) 2층",44495,35.56945595,129.3504156,052-290-4366,052-290-4389,https://ulsanjunggu.nid.or.kr,2018-10-24,0,9,1,2,,,,,,,,1,,1,1,,,
C0076,세종특별자치시치매안심센터,치매안심센터,세종특별자치시,세종시,"세종특별자치시 조치원읍 대첩로 32 (신흥리, 세종특별자치시보건소) 별관2층 치매안심센터",30029,36.59626916,127.2928906,044-301-2311~2318,044-301-2319,https://sejongansim.nid.or.kr,2019-06-03,1,4,1,,,,,,,,,,,,,,,
C0077,경기도가평군치매안심센터,치매안심센터,경기도,가평군,"경기 가평군 가평읍 가화로 155-18 (읍내리, 가평군보건소) 가평군보건소",12413,37.83350281,127.510601,031-580-2849,031-580-2559,https://gp.nid.or.kr,2018-12-26,1,5,1,2,,,,,,,,,,,,,,
C0078,경기도고양시덕양구치매안심센터,치매안심센터,경기도,고양시 덕양구,경기 고양시 덕양구 은빛로 72 (화정동) 내일 꿈 제작소 B동 3층,10498,37.63718564,126.8361898,031-8075-4800,,https://deogyang.nid.or.kr,2018-07-20,,,,,,,,,,,,,,,,,,
C0079,경기도고양시일산동구치매안심센터,치매안심센터,경기도,고양시 일산동구,경기 고양시 일산동구 중앙로 1100 (백석동) 별관 2층 치매안심센터,10421,37.64707633,126.7834627,031-8075-4850,031-8075-4886,https://ilsandonggu.nid.or.kr,2018-04-25,,,,,,,,,,,,,,,,,,
C0080,경기도고양시일산서구치매안심센터,치매안심센터,경기도,고양시 일산서구,"경기 고양시 일산서구 일중로 54 (일산동, 일산서구보건소) 일산서구보건소 2층 치매안심센터",10340,37.68447523,126.7757855,031-8075-4871,031-976-2043,https://goyangiss.nid.or.kr,2018-05-23,,,,,,,,,,,,,,,,,,
C0081,경기도과천시치매안심센터,치매안심센터,경기도,과천시,"경기 과천시 관문로 69 (중앙동, 과천시청) 과천시보건소 별관1층",13806,37.43022157,126.9867975,02-2150-3574,02-2150-1542,https://ghc.nid.or.kr,2020-09-11,1,5,1,3,,,1,,,,,,,,,,,
C0082,경기도광명시치매안심센터,치매안심센터,경기도,광명시,"경기 광명시 소하로 196 (소하동, 광명노인건강센터) 3층 치매안심센터",14322,37.44656741,126.894916,02-2680-5830,,https://gm.nid.or.kr,2018-07-24,1,16,1,1,1,,,,,,,,,,,,,
C0083,경기도광주시치매안심센터,치매안심센터,경기도,광주시,"경기 광주시 초월읍 경충대로 1009-40 (쌍동리, 동부건강센터) 2층",12736,37.36884855,127.3027557,031-762-8756,031-760-1454,https://gjcity.nid.or.kr,2018-11-15,0,7,5,1,,,,,,,,,,,,,,
C0084,경기도구리시치매안심센터,치매안심센터,경기도,구리시,"경기 구리시 건원대로34번길 84 (인창동, 구리보건소) 4층(구리시 치매안심센터)",11922,37.60473625,127.1450794,031-550-8642,031-550-2700,https://guri.nid.or.kr,2019-03-18,1,7,1,3,1,,2,,,1,,,,,,,,
C0085,경기도군포시치매안심센터,치매안심센터,경기도,군포시,"경기 군포시 산본로 329 (산본동, 경원빌딩) 8층",15865,37.36002061,126.9330897,031-389-4988,031-427-5629,https://gunpo.nid.or.kr,2018-05-15,0,10,4,,,,,,,,,,,,,,,
C0086,경기도김포시치매안심센터,치매안심센터,경기도,김포시,"경기 김포시 사우중로73번길 52 (북변동, 래미안 프라자) 4층",10097,37.62308177,126.7211346,031-5186-4170,031-981-8983,https://gimpo.nid.or.kr,2018-05-30,2,8,1,3,,,,,,1,,,,,,,,
C0087,경기도남양주시치매안심센터,치매안심센터,경기도,남양주시,"경기 남양주시 경춘로 522 (다산동, 남양주시청제2청사) 남양주보건소 2층",12284,37.61024303,127.1719612,031-590-8700,031-590-8129,https://nyj.nid.or.kr,2018-03-15,1,5,1,3,,,1,,,,,,,,,,,
C0088,경기도남양주시풍양치매안심센터,치매안심센터,경기도,남양주시 풍양,"경기 남양주시 진접읍 금강로 1509-26 (장현리, 진접읍사무소) 진접오남행정복지센터 복지동 2층",12009,37.72632836,127.189863,031-590-8381,031-590-6999,https://nyjpungyang.nid.or.kr,2018-07-30,,,,,,,,,,,,,,,,,,
C0089,경기도동두천시치매안심센터,치매안심센터,경기도,동두천시,경기 동두천시 거북마루로 49 (생연동) 동두천시 보건소 별관 1층,11344,37.89626429,127.0516304,031-860-3395,,https://ddc.nid.or.kr,2019-12-19,0,4,3,1,2,,,,,,,,,,,,,
C0090,경기도부천시원미치매안심센터,치매안심센터,경기도,부천시 원미구,"경기 부천시 원미구 길주로 410 (춘의동, 치매안심센터) 부천시치매안심센터",14555,37.50365381,126.7880109,032-625-9840,032-625-9859,https://bucheon.nid.or.kr,2019-12-23,,,,,,,,,,,,,,,,,,
C0091,경기도성남시분당구치매안심센터,치매안심센터,경기도,성남시 분당구,"경기도 성남시 분당구 내정로94 (정자동, 한솔마을 주공7단지 아파트) 711동 1층 분당구치매안심센터",13607,37.3673875,127.1155094,031-729-8783,031-729-4569,https://bdseongnam.nid.or.kr,2018-08-01,,,,,,,,,,,,,,,,,,
